epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.048,0.82501,2.07974,1.24246,0.43768,0.39304,0.29639,0.21636,0.9926,2.59728,1.44523,0.000276228,0.000276228,0.000276228
2,240.967,1.0262,1.97124,1.37492,0.33943,0.28565,0.1797,0.11721,1.44167,3.57273,1.88297,0.000542928,0.000542928,0.000542928
3,359.44,1.05439,2.03891,1.39576,0.30173,0.32568,0.24482,0.17493,1.15362,2.64659,1.57244,0.000798631,0.000798631,0.000798631
4,478.09,1.03321,1.93683,1.38325,0.31505,0.40847,0.29177,0.21764,1.09999,2.23549,1.52813,0.00078352,0.00078352,0.00078352
5,597.576,0.97011,1.84531,1.34084,0.38976,0.45485,0.36877,0.27307,0.90035,1.98052,1.32115,0.000767026,0.000767026,0.000767026
6,717.235,0.92414,1.7569,1.31468,0.33789,0.56155,0.39608,0.29382,0.84997,1.83853,1.26836,0.000750533,0.000750533,0.000750533
7,835.964,0.86872,1.65155,1.27378,0.42512,0.5102,0.44782,0.33941,0.77505,1.67631,1.23426,0.00073404,0.00073404,0.00073404
8,955.715,0.8407,1.62429,1.26263,0.45863,0.55104,0.49724,0.3816,0.7574,1.45694,1.17686,0.000717546,0.000717546,0.000717546
9,1078.26,0.82864,1.56486,1.25008,0.52658,0.45614,0.45953,0.35821,0.721,1.57377,1.17518,0.000701053,0.000701053,0.000701053
10,1196.08,0.80995,1.55334,1.23602,0.39735,0.54817,0.46507,0.36922,0.70694,1.54246,1.15517,0.000684559,0.000684559,0.000684559
11,1314.07,0.77494,1.51044,1.21811,0.51279,0.5543,0.53619,0.43052,0.66787,1.39624,1.12917,0.000668066,0.000668066,0.000668066
12,1437.83,0.76604,1.46142,1.21058,0.52994,0.45817,0.49063,0.40592,0.66647,1.45776,1.14108,0.000651573,0.000651573,0.000651573
13,1555.52,0.73928,1.41481,1.19244,0.57488,0.48776,0.52282,0.41216,0.63521,1.42182,1.09516,0.000635079,0.000635079,0.000635079
14,1673.1,0.73517,1.39256,1.19228,0.53696,0.56543,0.53355,0.43596,0.62562,1.36853,1.09529,0.000618586,0.000618586,0.000618586
15,1795.89,0.73553,1.38119,1.19617,0.55601,0.5632,0.55697,0.44322,0.61674,1.24767,1.07068,0.000602092,0.000602092,0.000602092
16,1919.12,0.72302,1.35906,1.1878,0.55003,0.5629,0.5423,0.45017,0.60092,1.3343,1.08883,0.000585599,0.000585599,0.000585599
17,2041.9,0.701,1.30247,1.15921,0.51866,0.61347,0.57423,0.48954,0.55767,1.21595,1.03984,0.000569106,0.000569106,0.000569106
18,2164.94,0.68813,1.29165,1.16077,0.55732,0.60023,0.58511,0.49351,0.55269,1.2188,1.03796,0.000552612,0.000552612,0.000552612
