epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.414,0.78182,2.15605,1.22425,0.29222,0.43116,0.26973,0.20757,0.88348,5.27081,1.33231,0.000276228,0.000276228,0.000276228
2,216.269,0.92608,1.89479,1.31002,0.30667,0.35989,0.24931,0.17077,1.08345,2.74442,1.52163,0.000542928,0.000542928,0.000542928
3,322.455,0.96055,1.93275,1.34061,0.2552,0.35292,0.26875,0.20966,1.00634,2.35467,1.44523,0.000798631,0.000798631,0.000798631
4,431.339,0.94783,1.84591,1.32604,0.35707,0.53996,0.40773,0.31317,0.8465,1.75072,1.30945,0.00078352,0.00078352,0.00078352
5,542.257,0.8781,1.71966,1.2797,0.40827,0.52057,0.44579,0.33794,0.80811,1.7025,1.246,0.000767026,0.000767026,0.000767026
6,652.414,0.85458,1.643,1.26757,0.54209,0.49,0.47595,0.37157,0.74576,1.66529,1.19469,0.000750533,0.000750533,0.000750533
7,758.36,0.80056,1.53731,1.22564,0.49214,0.54205,0.5073,0.40361,0.68885,1.49335,1.1503,0.00073404,0.00073404,0.00073404
8,869.819,0.78299,1.53196,1.22077,0.49964,0.53337,0.51927,0.41196,0.69486,1.40717,1.14872,0.000717546,0.000717546,0.000717546
9,980.343,0.76642,1.47245,1.21115,0.52717,0.54895,0.50495,0.40971,0.60186,1.43683,1.07988,0.000701053,0.000701053,0.000701053
10,1086.34,0.74875,1.46327,1.19778,0.48801,0.58871,0.53774,0.44556,0.60479,1.42634,1.07341,0.000684559,0.000684559,0.000684559
11,1192.51,0.72559,1.39859,1.18296,0.5224,0.55984,0.55759,0.47359,0.58359,1.33917,1.07203,0.000668066,0.000668066,0.000668066
12,1301.86,0.71754,1.37795,1.17401,0.52212,0.60296,0.57211,0.48946,0.56153,1.23922,1.06437,0.000651573,0.000651573,0.000651573
13,1413.15,0.68112,1.31501,1.15125,0.53323,0.59609,0.57512,0.46995,0.61461,1.30642,1.07471,0.000635079,0.000635079,0.000635079
14,1519.55,0.68955,1.31986,1.16636,0.61382,0.59098,0.59463,0.51087,0.55077,1.21334,1.03027,0.000618586,0.000618586,0.000618586
15,1630.03,0.6869,1.28551,1.16033,0.59518,0.58533,0.5952,0.49889,0.54231,1.17166,1.02882,0.000602092,0.000602092,0.000602092
16,1735.68,0.671,1.27709,1.15185,0.52411,0.54677,0.51696,0.44122,0.55435,1.38607,1.04808,0.000585599,0.000585599,0.000585599
17,1840.93,0.64886,1.2121,1.12545,0.54514,0.58961,0.57455,0.49481,0.5233,1.19558,1.01224,0.000569106,0.000569106,0.000569106
18,1946,0.64324,1.21568,1.13387,0.55218,0.64426,0.61258,0.53733,0.49253,1.16253,0.99449,0.000552612,0.000552612,0.000552612
19,2052.74,0.64023,1.20754,1.13416,0.54273,0.61068,0.5986,0.51747,0.49718,1.17977,0.99228,0.000536119,0.000536119,0.000536119
20,2158.28,0.62644,1.17604,1.11963,0.53344,0.61963,0.60039,0.52614,0.47954,1.17303,0.97491,0.000519625,0.000519625,0.000519625
21,2263.61,0.61708,1.14661,1.10853,0.51688,0.63465,0.5993,0.50983,0.51229,1.16808,0.99926,0.000503132,0.000503132,0.000503132
22,2368.76,0.60984,1.12244,1.10668,0.60774,0.60388,0.62765,0.55328,0.46816,1.10574,0.98171,0.000486639,0.000486639,0.000486639
23,2479.76,0.59822,1.08681,1.1038,0.56807,0.62867,0.61909,0.54875,0.45911,1.15156,0.96716,0.000470145,0.000470145,0.000470145
24,2586.39,0.59776,1.08721,1.10485,0.55421,0.63016,0.6126,0.53735,0.46843,1.15505,0.97662,0.000453652,0.000453652,0.000453652
25,2691.99,0.5801,1.06378,1.09069,0.58521,0.64389,0.64737,0.57677,0.42985,1.10205,0.95442,0.000437158,0.000437158,0.000437158
26,2801.57,0.57892,1.04093,1.08454,0.63263,0.59384,0.63808,0.55854,0.46816,1.13834,0.97408,0.000420665,0.000420665,0.000420665
27,2907.43,0.57259,1.03753,1.07955,0.60642,0.63207,0.64519,0.56947,0.44698,1.12887,0.95431,0.000404172,0.000404172,0.000404172
28,3012.95,0.56859,1.02055,1.08017,0.59231,0.62378,0.62894,0.55271,0.44585,1.10827,0.95643,0.000387678,0.000387678,0.000387678
29,3117.87,0.56296,1.02497,1.08699,0.55718,0.67919,0.64876,0.57245,0.43646,1.1099,0.95946,0.000371185,0.000371185,0.000371185
30,3223.51,0.55746,0.99942,1.0807,0.60281,0.60013,0.65525,0.59343,0.42548,1.09929,0.94764,0.000354691,0.000354691,0.000354691
31,3334.27,0.55623,0.9882,1.07607,0.60351,0.62796,0.64646,0.58073,0.43598,1.12789,0.94136,0.000338198,0.000338198,0.000338198
32,3440.31,0.54747,0.95707,1.06702,0.58782,0.68251,0.66441,0.59706,0.422,1.07643,0.94632,0.000321705,0.000321705,0.000321705
33,3551.22,0.54027,0.95347,1.06175,0.61848,0.62083,0.65811,0.59431,0.41883,1.11345,0.93663,0.000305211,0.000305211,0.000305211
34,3658.05,0.52584,0.9161,1.05147,0.65709,0.64404,0.6839,0.61851,0.41719,1.01838,0.93591,0.000288718,0.000288718,0.000288718
35,3768.74,0.52578,0.90741,1.04993,0.58719,0.65537,0.66427,0.59886,0.4235,1.14272,0.92124,0.000272224,0.000272224,0.000272224
36,3874.02,0.52237,0.90982,1.05118,0.58867,0.66179,0.67342,0.61458,0.39741,1.08211,0.91996,0.000255731,0.000255731,0.000255731
37,3979.48,0.51128,0.89107,1.04953,0.62397,0.65587,0.65488,0.60126,0.38644,1.09871,0.92152,0.000239238,0.000239238,0.000239238
38,4084.86,0.50636,0.87509,1.04141,0.68284,0.59346,0.67009,0.61434,0.38933,1.09694,0.92059,0.000222744,0.000222744,0.000222744
39,4190.28,0.50677,0.85178,1.04592,0.65879,0.64964,0.65985,0.60356,0.3966,1.07372,0.92271,0.000206251,0.000206251,0.000206251
40,4295.65,0.49585,0.84329,1.03977,0.60862,0.65708,0.67706,0.61445,0.40133,1.10867,0.92409,0.000189757,0.000189757,0.000189757
41,4401.83,0.33008,0.57112,0.88641,0.62899,0.65099,0.68202,0.62378,0.38935,1.14697,0.92416,0.000173264,0.000173264,0.000173264
42,4510.89,0.32312,0.52978,0.87828,0.57283,0.69901,0.67278,0.62609,0.37984,1.1028,0.9303,0.000156771,0.000156771,0.000156771
43,4621.51,0.31162,0.50426,0.87018,0.58422,0.72566,0.68388,0.63135,0.38215,1.11606,0.92762,0.000140277,0.000140277,0.000140277
44,4732.4,0.30759,0.48545,0.87439,0.64825,0.6635,0.67921,0.62929,0.39115,1.14792,0.93479,0.000123784,0.000123784,0.000123784
45,4837.76,0.30138,0.45207,0.86833,0.65379,0.66267,0.6754,0.62138,0.39655,1.18944,0.92705,0.00010729,0.00010729,0.00010729
46,4942.29,0.29664,0.44889,0.8648,0.73396,0.59355,0.6801,0.6267,0.3848,1.14854,0.92491,9.0797e-05,9.0797e-05,9.0797e-05
47,5047.01,0.28816,0.42453,0.85713,0.72191,0.61464,0.69178,0.64319,0.36161,1.1184,0.91017,7.43036e-05,7.43036e-05,7.43036e-05
48,5157.98,0.27891,0.40279,0.85356,0.67483,0.65078,0.69113,0.64394,0.35507,1.12351,0.90568,5.78102e-05,5.78102e-05,5.78102e-05
49,5268.53,0.27393,0.38198,0.85173,0.68523,0.66264,0.696,0.65073,0.34666,1.11444,0.90796,4.13168e-05,4.13168e-05,4.13168e-05
50,5378.97,0.27807,0.37639,0.86019,0.64754,0.6821,0.69813,0.64841,0.35855,1.12675,0.90978,2.48234e-05,2.48234e-05,2.48234e-05
